triangle 0, vertex 0, index: 0, pos: p(-0.877146,0.937038,-0.523243)
triangle 0, vertex 1, index: 1, pos: p(-1.00589,3.75368,-0.1754)
triangle 0, vertex 2, index: 2, pos: p(-0.555278,3.7929,-0.314537)
triangle 1, vertex 0, index: 3, pos: p(-0.426531,0.937038,0.381149)
triangle 1, vertex 1, index: 0, pos: p(-0.877146,0.937038,-0.523243)
triangle 1, vertex 2, index: 2, pos: p(-0.555278,3.7929,-0.314537)
triangle 2, vertex 0, index: 1, pos: p(-1.00589,3.75368,-0.1754)
triangle 2, vertex 1, index: 4, pos: p(-1.26339,0.937038,-0.453674)
triangle 2, vertex 2, index: 5, pos: p(-1.19901,3.74762,0.172443)
triangle 3, vertex 0, index: 6, pos: p(0.410326,7.26483,-0.384106)
triangle 3, vertex 1, index: 7, pos: p(-0.426531,7.24027,-0.384106)
triangle 3, vertex 2, index: 8, pos: p(0.024084,8.63582,-0.731949)
triangle 4, vertex 0, index: 9, pos: p(-0.426531,7.24027,-0.384106)
triangle 4, vertex 1, index: 10, pos: p(0.024084,7.73669,0.520286)
triangle 4, vertex 2, index: 11, pos: p(-0.555278,3.7929,-0.314537)
triangle 5, vertex 0, index: 12, pos: p(-0.684025,2.80089,0.868129)
triangle 5, vertex 1, index: 13, pos: p(-0.812772,1.17002,0.798561)
triangle 5, vertex 2, index: 3, pos: p(-0.426531,0.937038,0.381149)
triangle 6, vertex 0, index: 14, pos: p(0.410326,7.62701,0.659423)
triangle 6, vertex 1, index: 10, pos: p(0.024084,7.73669,0.520286)
triangle 6, vertex 2, index: 15, pos: p(0.603447,4.17411,0.868129)
triangle 7, vertex 0, index: 16, pos: p(1.18281,3.75525,0.172443)
triangle 7, vertex 1, index: 17, pos: p(0.989689,4.08219,0.868129)
triangle 7, vertex 2, index: 18, pos: p(1.05406,2.80089,0.868129)
triangle 8, vertex 0, index: 19, pos: p(0.410326,0.937038,0.381149)
triangle 8, vertex 1, index: 20, pos: p(0.345952,3.87929,0.172443)
triangle 8, vertex 2, index: 21, pos: p(0.539073,3.79954,-0.314537)
triangle 9, vertex 0, index: 17, pos: p(0.989689,4.08219,0.868129)
triangle 9, vertex 1, index: 22, pos: p(0.603447,4.17411,0.868129)
triangle 9, vertex 2, index: 18, pos: p(1.05406,2.80089,0.868129)
triangle 10, vertex 0, index: 23, pos: p(-0.426531,7.59415,0.659423)
triangle 10, vertex 1, index: 24, pos: p(-0.619651,8.63582,-0.105832)
triangle 10, vertex 2, index: 25, pos: p(-0.812772,7.31741,0.31158)
triangle 11, vertex 0, index: 23, pos: p(-0.426531,7.59415,0.659423)
triangle 11, vertex 1, index: 25, pos: p(-0.812772,7.31741,0.31158)
triangle 11, vertex 2, index: 26, pos: p(-1.00589,4.0661,0.868129)
triangle 12, vertex 0, index: 24, pos: p(-0.619651,8.63582,-0.105832)
triangle 12, vertex 1, index: 23, pos: p(-0.426531,7.59415,0.659423)
triangle 12, vertex 2, index: 27, pos: p(-0.23341,8.63582,0.381148)
triangle 13, vertex 0, index: 28, pos: p(0.024084,7.73669,0.520286)
triangle 13, vertex 1, index: 29, pos: p(0.217205,8.63582,0.381148)
triangle 13, vertex 2, index: 27, pos: p(-0.23341,8.63582,0.381148)
triangle 14, vertex 0, index: 30, pos: p(-0.23341,8.63582,0.381148)
triangle 14, vertex 1, index: 31, pos: p(-0.426531,7.59415,0.659423)
triangle 14, vertex 2, index: 32, pos: p(0.024084,7.73669,0.520286)
triangle 15, vertex 0, index: 33, pos: p(0.66782,2.80089,0.868129)
triangle 15, vertex 1, index: 34, pos: p(0.603447,4.17411,0.868129)
triangle 15, vertex 2, index: 20, pos: p(0.345952,3.87929,0.172443)
triangle 16, vertex 0, index: 35, pos: p(0.345952,3.87929,0.172443)
triangle 16, vertex 1, index: 15, pos: p(0.603447,4.17411,0.868129)
triangle 16, vertex 2, index: 10, pos: p(0.024084,7.73669,0.520286)
triangle 17, vertex 0, index: 36, pos: p(0.410326,7.62701,0.659423)
triangle 17, vertex 1, index: 37, pos: p(0.603447,8.63582,-0.105832)
triangle 17, vertex 2, index: 29, pos: p(0.217205,8.63582,0.381148)
triangle 18, vertex 0, index: 37, pos: p(0.603447,8.63582,-0.105832)
triangle 18, vertex 1, index: 36, pos: p(0.410326,7.62701,0.659423)
triangle 18, vertex 2, index: 38, pos: p(0.796568,7.3681,0.31158)
triangle 19, vertex 0, index: 25, pos: p(-0.812772,7.31741,0.31158)
triangle 19, vertex 1, index: 39, pos: p(-1.19901,3.74762,0.172443)
triangle 19, vertex 2, index: 26, pos: p(-1.00589,4.0661,0.868129)
triangle 20, vertex 0, index: 40, pos: p(0.989689,4.08219,0.868129)
triangle 20, vertex 1, index: 41, pos: p(1.18281,3.75525,0.172443)
triangle 20, vertex 2, index: 38, pos: p(0.796568,7.3681,0.31158)
triangle 21, vertex 0, index: 42, pos: p(-0.619652,4.16031,0.868129)
triangle 21, vertex 1, index: 43, pos: p(-0.684025,2.80089,0.868129)
triangle 21, vertex 2, index: 44, pos: p(-0.362158,3.87265,0.172443)
triangle 22, vertex 0, index: 6, pos: p(0.410326,7.26483,-0.384106)
triangle 22, vertex 1, index: 45, pos: p(0.410326,8.63582,-0.453675)
triangle 22, vertex 2, index: 46, pos: p(0.860941,7.18182,-0.105831)
triangle 23, vertex 0, index: 47, pos: p(-0.426531,0.937038,0.381149)
triangle 23, vertex 1, index: 48, pos: p(-0.555278,3.7929,-0.314537)
triangle 23, vertex 2, index: 44, pos: p(-0.362158,3.87265,0.172443)
triangle 24, vertex 0, index: 36, pos: p(0.410326,7.62701,0.659423)
triangle 24, vertex 1, index: 49, pos: p(0.603447,4.17411,0.868129)
triangle 24, vertex 2, index: 40, pos: p(0.989689,4.08219,0.868129)
triangle 25, vertex 0, index: 50, pos: p(-1.00589,3.75368,-0.1754)
triangle 25, vertex 1, index: 51, pos: p(-0.877146,7.13459,-0.105832)
triangle 25, vertex 2, index: 7, pos: p(-0.426531,7.24027,-0.384106)
triangle 26, vertex 0, index: 52, pos: p(-1.00589,4.0661,0.868129)
triangle 26, vertex 1, index: 5, pos: p(-1.19901,3.74762,0.172443)
triangle 26, vertex 2, index: 53, pos: p(-1.07027,2.80089,0.868129)
triangle 27, vertex 0, index: 54, pos: p(0.539073,3.79954,-0.314537)
triangle 27, vertex 1, index: 35, pos: p(0.345952,3.87929,0.172443)
triangle 27, vertex 2, index: 10, pos: p(0.024084,7.73669,0.520286)
triangle 28, vertex 0, index: 52, pos: p(-1.00589,4.0661,0.868129)
triangle 28, vertex 1, index: 53, pos: p(-1.07027,2.80089,0.868129)
triangle 28, vertex 2, index: 55, pos: p(-0.619652,4.16031,0.868129)
triangle 29, vertex 0, index: 26, pos: p(-1.00589,4.0661,0.868129)
triangle 29, vertex 1, index: 56, pos: p(-0.619652,4.16031,0.868129)
triangle 29, vertex 2, index: 23, pos: p(-0.426531,7.59415,0.659423)
triangle 30, vertex 0, index: 10, pos: p(0.024084,7.73669,0.520286)
triangle 30, vertex 1, index: 57, pos: p(0.410326,7.26483,-0.384106)
triangle 30, vertex 2, index: 54, pos: p(0.539073,3.79954,-0.314537)
triangle 31, vertex 0, index: 58, pos: p(0.989689,3.76108,-0.1754)
triangle 31, vertex 1, index: 46, pos: p(0.860941,7.18182,-0.105831)
triangle 31, vertex 2, index: 41, pos: p(1.18281,3.75525,0.172443)
triangle 32, vertex 0, index: 7, pos: p(-0.426531,7.24027,-0.384106)
triangle 32, vertex 1, index: 59, pos: p(-0.426531,8.63582,-0.453675)
triangle 32, vertex 2, index: 8, pos: p(0.024084,8.63582,-0.731949)
triangle 33, vertex 0, index: 55, pos: p(-0.619652,4.16031,0.868129)
triangle 33, vertex 1, index: 53, pos: p(-1.07027,2.80089,0.868129)
triangle 33, vertex 2, index: 12, pos: p(-0.684025,2.80089,0.868129)
triangle 34, vertex 0, index: 50, pos: p(-1.00589,3.75368,-0.1754)
triangle 34, vertex 1, index: 39, pos: p(-1.19901,3.74762,0.172443)
triangle 34, vertex 2, index: 51, pos: p(-0.877146,7.13459,-0.105832)
triangle 35, vertex 0, index: 58, pos: p(0.989689,3.76108,-0.1754)
triangle 35, vertex 1, index: 6, pos: p(0.410326,7.26483,-0.384106)
triangle 35, vertex 2, index: 46, pos: p(0.860941,7.18182,-0.105831)
triangle 36, vertex 0, index: 7, pos: p(-0.426531,7.24027,-0.384106)
triangle 36, vertex 1, index: 51, pos: p(-0.877146,7.13459,-0.105832)
triangle 36, vertex 2, index: 59, pos: p(-0.426531,8.63582,-0.453675)
triangle 37, vertex 0, index: 60, pos: p(0.860941,0.937038,-0.523243)
triangle 37, vertex 1, index: 61, pos: p(0.539073,3.79954,-0.314537)
triangle 37, vertex 2, index: 62, pos: p(0.989689,3.76108,-0.1754)
triangle 38, vertex 0, index: 63, pos: p(0.410326,0.937038,0.381149)
triangle 38, vertex 1, index: 61, pos: p(0.539073,3.79954,-0.314537)
triangle 38, vertex 2, index: 60, pos: p(0.860941,0.937038,-0.523243)
triangle 39, vertex 0, index: 62, pos: p(0.989689,3.76108,-0.1754)
triangle 39, vertex 1, index: 16, pos: p(1.18281,3.75525,0.172443)
triangle 39, vertex 2, index: 64, pos: p(1.24718,0.937038,-0.453674)
triangle 40, vertex 0, index: 65, pos: p(0.410326,7.26483,-0.384106)
triangle 40, vertex 1, index: 66, pos: p(0.024084,7.73669,0.520286)
triangle 40, vertex 2, index: 67, pos: p(-0.426531,7.24027,-0.384106)
triangle 41, vertex 0, index: 68, pos: p(0.410326,7.26483,-0.384106)
triangle 41, vertex 1, index: 69, pos: p(0.989689,3.76108,-0.1754)
triangle 41, vertex 2, index: 70, pos: p(0.539073,3.79954,-0.314537)
triangle 42, vertex 0, index: 20, pos: p(0.345952,3.87929,0.172443)
triangle 42, vertex 1, index: 19, pos: p(0.410326,0.937038,0.381149)
triangle 42, vertex 2, index: 33, pos: p(0.66782,2.80089,0.868129)
triangle 43, vertex 0, index: 32, pos: p(0.024084,7.73669,0.520286)
triangle 43, vertex 1, index: 71, pos: p(0.410326,7.62701,0.659423)
triangle 43, vertex 2, index: 72, pos: p(0.217205,8.63582,0.381148)
triangle 44, vertex 0, index: 22, pos: p(0.603447,4.17411,0.868129)
